PuzzleId,FEN,PreFlawFEN,FirstMove,PV,Themes,Rating
BeoZE,r4rk1/pppb1ppp/3p4/3N1P2/4P2R/3P4/PqP1KQ2/8 w - - 0 26,r4rk1/pppb1ppp/3p1q2/3N1P2/4P2R/3P4/PPP1KQ2/8 b - - 2 25,f6b2,d5e7 g8h8 h4h7 h8h7 f2h4,anastasiaMate attraction kingsideAttack long mate mateIn3 middlegame sacrifice,1250
YB3Mx,r4r2/4Nppk/6n1/4pNQp/b3q2P/6PK/P7/R6R w - - 2 28,r4rk1/4Npp1/6n1/4pNQp/b3q2P/6PK/P7/R6R b - - 1 27,g8h7,g5h5,anastasiaMate master mate mateIn1 middlegame oneMove,1294
3Dtki,2k4r/bpp2ppp/p3p3/8/NPPr3q/P2PB3/1Q2nPPP/1R3R1K b - - 10 22,2k4r/bpp2ppp/p3p3/8/NPPr3q/P2P4/1Q1BnPPP/1R3R1K w - - 9 22,d2e3,h4h2 h1h2 d4h4,anastasiaMate attraction kingsideAttack mate mateIn2 middlegame sacrifice short,1395
WBRdb,4r1k1/2q4p/B5p1/1Q3p2/3r4/1P3P2/P1P1n1PP/R4R1K b - - 2 29,4r1k1/2q4p/B5p1/5p2/1Q1r4/1P3P2/P1P1n1PP/R4R1K w - - 1 29,b4b5,c7h2 h1h2 d4h4,anastasiaMate attraction mate mateIn2 middlegame sacrifice short,1449
R8uDr,rnb1qr2/pp1np3/3pN1pk/4P3/2B2P2/2p1B3/PPP2KP1/R7 w - - 0 18,rnb1qr2/pp1np2k/3pN1pQ/4P3/2B2P2/2p1B3/PPP2KP1/R7 b - - 0 17,h7h6,a1h1,anastasiaMate master mate mateIn1 middlegame oneMove,1520
WdLm5,2kr4/1p3R2/p1p5/2b5/3p4/1P1Pn1PK/PB2R2P/1N6 b - - 1 29,2kr4/1p5R/p1p5/2b5/3p4/1P1Pn1PK/PB2R2P/1N6 w - - 0 29,h7f7,d8h8 f7h7 h8h7,anastasiaMate mate mateIn2 middlegame short,1249
LtZnQ,5k2/1p3p1p/p2p2p1/3P4/2P3q1/1P6/P3nQPK/5R2 b - - 3 29,5k2/1p3p1p/p2p2p1/3P4/2P3q1/1P6/P3nQP1/5RK1 w - - 2 29,g1h2,g4h5 f2h4 h5h4,anastasiaMate endgame mate mateIn2 short,1384
wPmml,r5k1/5p1p/p5p1/2QN4/4r2q/P7/1P2nPPP/R2R3K b - - 2 23,r5k1/5p1p/p5p1/2QN4/4r2q/P7/1P2nPPP/R2R2K1 w - - 1 23,g1h1,h4h2 h1h2 e4h4,anastasiaMate attraction mate mateIn2 middlegame sacrifice short,1427
LswNy,5r1k/1Qpq3r/3pp3/p3P1p1/P2PNn2/8/1P3PPP/3R1RK1 b - - 2 24,5r1k/1Qpq3r/3pp3/p3P1p1/P2P1n2/6N1/1P3PPP/3R1RK1 w - - 1 24,g3e4,f4e2 g1h1 h7h2 h1h2 d7h7,anastasiaMate attraction kingsideAttack long mate mateIn3 middlegame sacrifice,1378
ty3YK,8/1p1Q2pp/1P6/k1P1qp2/3prn2/P7/5PPP/1R3RK1 b - - 6 29,8/1p1Q2pp/1P6/k1P1qp2/3prn2/P7/5PPP/R4RK1 w - - 5 29,a1b1,f4e2 g1h1 e5h2 h1h2 e4h4,anastasiaMate attraction discoveredAttack endgame long mate mateIn3 sacrifice,1358
